Country,State,City,Station,Latitude,Longitude,LastUpdate,PM2.5_Min,PM2.5_Max,PM2.5_Avg,PM10_Min,PM10_Max,PM10_Avg,NO2_Min,NO2_Max,NO2_Avg,SO2_Min,SO2_Max,SO2_Avg,CO_Min,CO_Max,CO_Avg,OZONE_Min,OZONE_Max,OZONE_Avg,NH3_Min,NH3_Max,NH3_Avg,Air_Quality_Index_Value,Predominant_Parameter
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,20-11-2023 12:00:00,15,34,24,16,39,24,17,39,23,4,17,7,20,40,29,16,52,25,2,3,3,29,CO
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13.204880,79.097889,20-11-2023 12:00:00,11,30,19,13,35,22,8,21,14,4,18,9,2,5,4,23,92,35,1,2,2,35,OZONE
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187,20-11-2023 12:00:00,19,57,37,18,48,32,21,54,30,1,2,2,12,30,21,6,48,21,1,3,1,37,PM2.5
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176,20-11-2023 12:00:00,31,72,44,43,101,58,12,26,18,9,15,12,6,48,24,20,43,28,2,4,3,58,PM10
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",13.67,79.35,20-11-2023 12:00:00,22,62,49,23,54,41,35,53,46,3,16,11,14,24,17,25,50,29,2,4,3,49,PM2.5
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.409230,20-11-2023 12:00:00,22,41,31,22,41,31,15,26,19,4,5,5,44,52,48,4,26,13,2,3,3,48,CO
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,20-11-2023 12:00:00,38,72,50,33,73,48,6,19,11,4,17,8,17,19,18,33,88,49,4,5,4,50,PM2.5
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",16.486692,80.699436,20-11-2023 12:00:00,39,46,42,36,45,39,14,17,16,1,10,4,36,66,47,39,41,40,1,1,1,47,CO
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,20-11-2023 12:00:00,30,74,49,27,68,45,36,90,53,7,32,13,32,38,33,22,102,54,3,6,5,54,OZONE
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",17.72,83.3,20-11-2023 12:00:00,38,76,57,60,95,74,12,44,26,4,21,12,14,57,27,3,62,14,2,5,3,74,PM10
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",26.071318,91.87488,20-11-2023 12:00:00,18,493,271,23,500,273,23,61,35,6,8,7,34,112,68,6,8,7,3,3,3,273,PM10
India,Assam,Guwahati,"IITG, Guwahati - PCBA",26.2028636,91.70046436,20-11-2023 12:00:00,12,169,77,15,104,66,1,6,2,10,11,10,6,22,16,2,18,5,5,5,5,77,PM2.5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",26.10887,91.589544,20-11-2023 12:00:00,27,300,99,39,147,82,2,16,6,2,3,2,8,106,32,2,130,48,1,3,2,99,PM2.5
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26.187500,91.744194,20-11-2023 12:00:00,19,196,89,35,140,86,NA,NA,NA,49,73,56,12,78,36,16,16,16,1,2,2,89,PM2.5
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.181742,91.78063,20-11-2023 12:00:00,17,300,114,25,169,90,3,5,3,27,47,34,10,90,37,12,36,23,NA,NA,NA,114,PM2.5
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.349082,92.68449,20-11-2023 12:00:00,3,92,40,23,193,112,8,38,18,NA,NA,NA,1,28,25,3,65,6,2,4,3,112,PM10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057,20-11-2023 12:00:00,32,385,150,74,474,162,36,54,44,9,22,13,26,110,40,18,20,18,8,10,9,162,PM10
India,Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,20-11-2023 12:00:00,20,26,23,29,63,40,10,19,15,3,7,5,28,44,33,NA,NA,NA,1,1,1,40,PM10
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.987634,94.636574,20-11-2023 12:00:00,7,28,14,17,99,47,11,18,15,4,7,6,8,34,21,2,5,3,1,2,2,47,PM10
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,20-11-2023 12:00:00,10,332,177,45,261,141,6,27,8,14,20,17,24,82,58,1,39,8,6,7,6,177,PM2.5
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.5626095,84.663264,20-11-2023 12:00:00,42,500,259,54,457,171,1,8,3,16,22,18,18,29,25,1,61,13,5,9,7,259,PM2.5
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208,20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,6,16,9,8,18,12,16,101,64,1,76,18,1,1,1,NA,NA
India,Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",25.444266,86.140169,20-11-2023 12:00:00,83,478,310,73,423,264,6,55,37,5,18,13,24,48,31,5,82,16,4,8,4,310,PM2.5
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954,20-11-2023 12:00:00,35,342,191,60,386,194,NA,NA,NA,9,19,16,22,110,84,NA,NA,NA,5,5,5,194,PM10
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,20-11-2023 12:00:00,28,308,137,41,151,96,40,76,50,20,29,24,14,42,38,24,40,29,4,8,5,137,PM2.5
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,20-11-2023 12:00:00,50,332,197,63,264,155,11,30,18,15,27,21,12,16,15,10,18,13,5,8,7,197,PM2.5
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.514960,20-11-2023 12:00:00,20,67,41,24,127,73,9,10,9,2,12,6,10,50,30,5,72,19,2,2,2,73,PM10
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,20-11-2023 12:00:00,55,408,273,54,399,193,14,23,20,39,62,51,52,95,57,1,6,2,4,8,6,273,PM2.5
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",24.7955,84.9994,20-11-2023 12:00:00,30,306,177,NA,NA,NA,11,12,11,4,29,16,30,66,34,47,88,57,NA,NA,NA,177,PM2.5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,20-11-2023 12:00:00,70,382,240,70,332,175,30,31,31,2,15,9,6,40,31,10,75,32,2,17,5,240,PM2.5
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,20-11-2023 12:00:00,19,94,55,39,64,52,12,31,17,7,9,8,12,64,50,4,80,14,3,5,5,55,PM2.5
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.697189,85.245900,20-11-2023 12:00:00,19,244,94,30,425,158,7,20,12,7,9,8,20,82,52,25,38,33,3,5,4,158,PM10
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,20-11-2023 12:00:00,13,445,222,42,407,163,28,41,34,18,23,21,29,34,33,20,25,23,6,8,7,222,PM2.5
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,20-11-2023 12:00:00,12,413,138,27,482,149,45,107,68,13,21,17,6,40,12,7,15,9,8,10,9,149,PM10
